Sourcefile	20210805 143133 Meng_500ms_CO2_wo_47_49.qmp
Exporttime	8/5/2021 03:27:42.010 PM

Start Time	8/5/2021 02:31:59.810 PM
End Time	8/5/2021 03:27:33.531 PM

		18			28			32			40			44			45			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 02:31:59.809 PM	0.000	7.208563e-011	8/5/2021 02:31:59.872 PM	0.062	1.535216e-010	8/5/2021 02:32:00.087 PM	0.277	9.071418e-011	8/5/2021 02:32:00.302 PM	0.492	3.628645e-012	8/5/2021 02:32:00.840 PM	1.031	1.279249e-012	8/5/2021 02:32:01.378 PM	1.569	1.267977e-014	8/5/2021 02:32:01.457 PM	1.648	8.672983e-009
8/5/2021 02:32:01.520 PM	1.710	7.294086e-011	8/5/2021 02:32:01.581 PM	1.771	1.552902e-010	8/5/2021 02:32:01.794 PM	1.985	9.077584e-011	8/5/2021 02:32:02.010 PM	2.201	3.688216e-012	8/5/2021 02:32:02.549 PM	2.739	1.224844e-012	8/5/2021 02:32:03.088 PM	3.278	1.265291e-014	8/5/2021 02:32:03.169 PM	3.360	8.713721e-009
8/5/2021 02:32:03.231 PM	3.421	7.342783e-011	8/5/2021 02:32:03.292 PM	3.482	1.546188e-010	8/5/2021 02:32:03.507 PM	3.698	9.079570e-011	8/5/2021 02:32:03.727 PM	3.917	3.766082e-012	8/5/2021 02:32:04.266 PM	4.457	1.239111e-012	8/5/2021 02:32:04.806 PM	4.996	1.515719e-014	8/5/2021 02:32:04.883 PM	5.074	8.713721e-009
8/5/2021 02:32:04.945 PM	5.136	7.159660e-011	8/5/2021 02:32:05.008 PM	5.198	1.543408e-010	8/5/2021 02:32:05.223 PM	5.413	9.062841e-011	8/5/2021 02:32:05.442 PM	5.633	3.756554e-012	8/5/2021 02:32:05.980 PM	6.170	1.211537e-012	8/5/2021 02:32:06.520 PM	6.711	1.852092e-014	8/5/2021 02:32:06.600 PM	6.790	8.672983e-009
8/5/2021 02:32:06.661 PM	6.851	7.219412e-011	8/5/2021 02:32:06.721 PM	6.912	1.542150e-010	8/5/2021 02:32:06.936 PM	7.127	9.042912e-011	8/5/2021 02:32:07.155 PM	7.346	3.752812e-012	8/5/2021 02:32:07.696 PM	7.886	1.254657e-012	8/5/2021 02:32:08.234 PM	8.425	1.571420e-014	8/5/2021 02:32:08.313 PM	8.504	8.632436e-009
8/5/2021 02:32:08.375 PM	8.565	7.256205e-011	8/5/2021 02:32:08.435 PM	8.626	1.553104e-010	8/5/2021 02:32:08.650 PM	8.841	9.003816e-011	8/5/2021 02:32:08.865 PM	9.056	3.688773e-012	8/5/2021 02:32:09.404 PM	9.594	1.238255e-012	8/5/2021 02:32:09.943 PM	10.133	1.269595e-014	8/5/2021 02:32:10.023 PM	10.213	8.672983e-009
8/5/2021 02:32:10.082 PM	10.273	7.167966e-011	8/5/2021 02:32:10.144 PM	10.335	1.550140e-010	8/5/2021 02:32:10.360 PM	10.550	8.998993e-011	8/5/2021 02:32:10.575 PM	10.765	3.654601e-012	8/5/2021 02:32:11.112 PM	11.303	1.192437e-012	8/5/2021 02:32:11.650 PM	11.841	1.220455e-014	8/5/2021 02:32:11.729 PM	11.920	8.592079e-009
8/5/2021 02:32:11.791 PM	11.981	7.263941e-011	8/5/2021 02:32:11.853 PM	12.043	1.553900e-010	8/5/2021 02:32:12.069 PM	12.259	9.052589e-011	8/5/2021 02:32:12.287 PM	12.477	3.744923e-012	8/5/2021 02:32:12.825 PM	13.016	1.231110e-012	8/5/2021 02:32:13.363 PM	13.554	1.679556e-014	8/5/2021 02:32:13.442 PM	13.633	8.672983e-009
8/5/2021 02:32:13.504 PM	13.694	7.284370e-011	8/5/2021 02:32:13.567 PM	13.757	1.532621e-010	8/5/2021 02:32:13.781 PM	13.971	9.113540e-011	8/5/2021 02:32:14.000 PM	14.191	3.623984e-012	8/5/2021 02:32:14.538 PM	14.729	1.262276e-012	8/5/2021 02:32:15.078 PM	15.268	1.443841e-014	8/5/2021 02:32:15.162 PM	15.353	8.672983e-009
8/5/2021 02:32:15.224 PM	15.415	7.331092e-011	8/5/2021 02:32:15.287 PM	15.477	1.558898e-010	8/5/2021 02:32:15.502 PM	15.692	9.051548e-011	8/5/2021 02:32:15.721 PM	15.912	3.615545e-012	8/5/2021 02:32:16.259 PM	16.450	1.238128e-012	8/5/2021 02:32:16.799 PM	16.989	1.611891e-014	8/5/2021 02:32:16.879 PM	17.069	8.672983e-009
8/5/2021 02:32:16.940 PM	17.130	7.255205e-011	8/5/2021 02:32:17.001 PM	17.192	1.544659e-010	8/5/2021 02:32:17.216 PM	17.406	9.052802e-011	8/5/2021 02:32:17.430 PM	17.620	3.651602e-012	8/5/2021 02:32:17.968 PM	18.159	1.241851e-012	8/5/2021 02:32:18.506 PM	18.697	1.213192e-014	8/5/2021 02:32:18.585 PM	18.776	8.632436e-009
