Sourcefile	20210805 154301 Meng_500ms_CO2_wo_47_49.qmp
Exporttime	8/5/2021 04:01:12.927 PM

Start Time	8/5/2021 03:43:10.017 PM
End Time	8/5/2021 04:00:58.653 PM

		18			28			32			40			44			45			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 03:43:10.016 PM	0.000	7.160434e-011	8/5/2021 03:43:10.079 PM	0.062	1.671872e-010	8/5/2021 03:43:10.293 PM	0.276	9.796912e-011	8/5/2021 03:43:10.506 PM	0.490	4.087110e-012	8/5/2021 03:43:11.046 PM	1.029	1.423929e-012	8/5/2021 03:43:11.584 PM	1.568	1.603620e-014	8/5/2021 03:43:11.664 PM	1.648	8.962178e-009
8/5/2021 03:43:11.726 PM	1.709	7.203943e-011	8/5/2021 03:43:11.786 PM	1.770	1.654096e-010	8/5/2021 03:43:12.001 PM	1.985	9.682972e-011	8/5/2021 03:43:12.221 PM	2.204	4.061557e-012	8/5/2021 03:43:12.759 PM	2.742	1.453941e-012	8/5/2021 03:43:13.296 PM	3.280	1.809181e-014	8/5/2021 03:43:13.376 PM	3.360	8.962178e-009
8/5/2021 03:43:13.438 PM	3.421	7.193360e-011	8/5/2021 03:43:13.498 PM	3.482	1.673145e-010	8/5/2021 03:43:13.712 PM	3.696	9.833352e-011	8/5/2021 03:43:13.928 PM	3.911	4.107097e-012	8/5/2021 03:43:14.465 PM	4.449	1.352164e-012	8/5/2021 03:43:15.004 PM	4.987	1.911214e-014	8/5/2021 03:43:15.088 PM	5.072	9.004274e-009
8/5/2021 03:43:15.150 PM	5.133	7.194838e-011	8/5/2021 03:43:15.212 PM	5.195	1.687098e-010	8/5/2021 03:43:15.426 PM	5.410	9.783022e-011	8/5/2021 03:43:15.644 PM	5.627	4.065923e-012	8/5/2021 03:43:16.183 PM	6.166	1.419036e-012	8/5/2021 03:43:16.721 PM	6.705	1.858442e-014	8/5/2021 03:43:16.800 PM	6.783	8.962178e-009
8/5/2021 03:43:16.861 PM	6.844	7.168219e-011	8/5/2021 03:43:16.922 PM	6.906	1.671246e-010	8/5/2021 03:43:17.138 PM	7.122	9.735868e-011	8/5/2021 03:43:17.358 PM	7.341	3.987319e-012	8/5/2021 03:43:17.898 PM	7.882	1.393836e-012	8/5/2021 03:43:18.437 PM	8.420	1.763826e-014	8/5/2021 03:43:18.515 PM	8.499	8.962178e-009
8/5/2021 03:43:18.576 PM	8.560	7.104146e-011	8/5/2021 03:43:18.639 PM	8.622	1.674075e-010	8/5/2021 03:43:18.854 PM	8.837	9.834236e-011	8/5/2021 03:43:19.072 PM	9.055	4.032831e-012	8/5/2021 03:43:19.609 PM	9.593	1.427735e-012	8/5/2021 03:43:20.150 PM	10.133	1.280095e-014	8/5/2021 03:43:20.230 PM	10.213	9.004274e-009
8/5/2021 03:43:20.290 PM	10.274	7.128245e-011	8/5/2021 03:43:20.352 PM	10.336	1.643573e-010	8/5/2021 03:43:20.567 PM	10.550	9.724640e-011	8/5/2021 03:43:20.782 PM	10.765	4.013488e-012	8/5/2021 03:43:21.320 PM	11.304	1.393548e-012	8/5/2021 03:43:21.859 PM	11.843	1.974698e-014	8/5/2021 03:43:21.938 PM	11.922	9.004274e-009
8/5/2021 03:43:22.000 PM	11.983	7.154886e-011	8/5/2021 03:43:22.062 PM	12.045	1.670825e-010	8/5/2021 03:43:22.277 PM	12.260	9.810038e-011	8/5/2021 03:43:22.490 PM	12.474	3.935646e-012	8/5/2021 03:43:23.027 PM	13.011	1.462450e-012	8/5/2021 03:43:23.566 PM	13.549	2.350263e-014	8/5/2021 03:43:23.645 PM	13.628	8.962178e-009
8/5/2021 03:43:23.705 PM	13.689	7.186924e-011	8/5/2021 03:43:23.767 PM	13.750	1.650394e-010	8/5/2021 03:43:23.981 PM	13.964	9.757328e-011	8/5/2021 03:43:24.201 PM	14.185	4.040680e-012	8/5/2021 03:43:24.741 PM	14.724	1.409831e-012	8/5/2021 03:43:25.278 PM	15.261	1.520846e-014	8/5/2021 03:43:25.356 PM	15.339	9.004274e-009
8/5/2021 03:43:25.416 PM	15.400	7.133048e-011	8/5/2021 03:43:25.479 PM	15.462	1.678714e-010	8/5/2021 03:43:25.694 PM	15.677	9.738282e-011	8/5/2021 03:43:25.912 PM	15.896	3.901412e-012	8/5/2021 03:43:26.451 PM	16.435	1.391344e-012	8/5/2021 03:43:26.991 PM	16.974	1.870347e-014	8/5/2021 03:43:27.069 PM	17.052	8.962178e-009
