,O2,CO2,45CO2,47CO2,49CO2,O2_Ar
2.394,381.7394981737212,3.5738543543722696,-0.4587875293889328,-0.31728515960114695,-0.3025786994799634,365.3757938596183
5.98,379.1489412643801,3.7941812780856177,-0.31547100987303994,-0.33515320935746745,-0.2504925060385791,360.2987426087964
9.574,378.388510998644,4.5500857101962335,-0.2497001740366945,-0.2869640286576809,-0.28994266269824753,352.5401897593039
13.166,379.1183842068835,4.037858109649197,-0.3528076754605464,-0.24462986521786478,-0.3439961836876949,364.8636013249184
16.76,380.32094606389614,3.7638139787390816,-0.3471709799004662,-0.44653985327763895,-0.3464565311798796,365.250406748751
20.353,380.64077024415,3.2033441056595424,-0.2930486135120253,-0.41446982231658486,-0.28801314756836993,362.26784396137543
23.941,379.5262911476767,3.105229167554665,-0.3349144760869079,-0.3349522879966945,-0.3238893058305737,368.0371605623411
27.536,378.63213304399864,3.517359930571719,-0.3317693692018807,-0.338206140212075,-0.3065296322660103,368.08199372284923
31.129,379.5689268617643,3.947786553891398,-0.32086007988627485,-0.4005428844447881,-0.31157113302455663,367.6628347275726
34.713,379.59502114805986,3.8660298932860386,-0.3850326780714074,-0.38919374132501794,-0.41460581652264544,361.3688684184452
38.293,379.3946996040793,3.4120221639588406,-0.43998489846936223,-0.2519874504834344,-0.37050302425527415,357.18669954274816
41.876,378.39945006848734,2.899648475656179,-0.31500400369552495,-0.4098707780305436,-0.3961881384726361,363.4121857096304
45.46,378.8850948504331,3.5006068133632944,-0.24852418929230372,-0.3596349866825011,-0.30061703663216227,360.1596346947937
49.04,379.0171991791556,3.4946581928339313,-0.2946378202431484,-0.2204224367716582,-0.2972094076594655,367.50111917721415
52.622,377.31374431075733,3.8139636337747302,-0.3312745329911747,-0.2780084544220537,-0.3395753273840784,365.27570341057094
56.198,377.2145355673313,3.4879659157429095,-0.41826140484128643,-0.30925418469327515,-0.3604537504590441,361.28167968854484
59.781,377.59869906898916,3.311176160611986,-0.3770063990309684,-0.3269454365806409,-0.35851652246808396,362.86670423567654
63.362,377.1038597488603,3.6711125493469963,-0.23334069940890595,-0.31966514194111134,-0.4505406738487929,371.81539542529237
66.948,377.18135235380197,3.0720148695894838,-0.4067573122764703,-0.19818547724557037,-0.30010507653547236,367.73922704304874
70.528,377.245191086277,3.7329866920708317,-0.34981140501461366,-0.3511792765994652,-0.392827871513087,365.59889863832694
74.113,376.81004262962006,2.8900265261171607,-0.3315714910743361,-0.35782490136554196,-0.33089897586966016,365.11401277459674
77.7,377.157313714873,3.4035988575314606,-0.3024789221716825,-0.26252198077540373,-0.3717280492903228,363.8940727116162
81.293,377.0517010324963,4.089232186983602,-0.2580624433717188,-0.34620247336325854,-0.30823064722939353,374.23006587426704
84.891,376.30872580744364,3.0266801341201157,-0.35744171665055996,-0.3985952666540044,-0.2865445906573574,366.4447198705829
88.484,375.92991828332396,3.1713844388570283,-0.3774657726213301,-0.3698234564175264,-0.35948767216262195,363.6516218690989
92.08,375.172646651135,3.5536957231886523,-0.3040664033023737,-0.3815926993035705,-0.2996023143673043,361.0325340595657
95.671,375.941766161146,3.8775950310024183,-0.3516375025778805,-0.24965514706072744,-0.39668263411696564,361.54886215465336
99.259,376.22405290994476,3.5717021809033143,-0.3229127760817916,-0.2775666112978231,-0.3180044626429904,361.84399305350104
102.853,375.34301840924155,3.6255018194174413,-0.31983699289569023,-0.3324546583371418,-0.2967556482377668,362.7445523136722
106.448,373.87944135617005,2.9535873582485204,-0.11076379832267891,-0.3751143103534261,-0.3384216613031004,364.569943755501
110.039,373.8106476837417,4.413600242589182,-0.2865014736034129,-0.2912930145529098,-0.34981570698581954,359.21159136885694
113.622,374.09573789243456,3.7418984941309446,-0.33677855822924707,-0.325354169560181,-0.3365217083140516,358.9106784902859
117.208,373.89881860823783,3.2291819941211033,-0.09407171368449056,-0.3008658539042021,-0.2496542672999136,359.3050419973395
120.79,373.9086370967946,2.836963262547421,-0.19739303336623987,-0.3156108890156192,-0.2854389055572425,365.5761537957438
124.381,374.5152999330833,3.858465561883483,-0.2769755438254686,-0.33333358994304046,-0.3471754738409814,362.2379873238882
127.974,374.015662595466,3.759217772794071,-0.22305546031978182,-0.32916976213330945,-0.35403537740628843,363.79920080458317
131.565,374.23281476326804,3.3979973594275266,-0.3615852338761183,-0.2761019192941063,-0.3225378438740602,363.89758143501774
135.15,374.1835285138037,2.579256819628366,-0.37648154678077195,-0.3892693281475707,-0.32640817406620387,366.05270564049835
138.734,373.66329220741324,2.621680938701266,-0.4081353118493174,-0.16994439089354982,-0.27716623084523173,367.78469927673063
142.327,373.882899432514,3.75610555729446,-0.3927656006774895,-0.19637624918007027,-0.39380243620193,366.54445342383855
145.922,374.6275984669484,3.4559169608013445,-0.4398631587968825,-0.23155798043532436,-0.38500285341624624,372.17473132273483
149.517,374.3911534553077,3.3402994029635082,-0.43654838657549877,-0.18745456781201916,-0.3558691041181689,365.1685652587606
153.114,372.4386305029241,3.9451421125649717,-0.3383673918869166,-0.2739533285420502,-0.4747167846207645,362.95486438234235
156.708,373.0237090677179,3.501952339212063,-0.5128519634560449,-0.3556324054144245,-0.39377402552565144,371.2655165808263
160.299,373.8078280476762,3.507883473070317,-0.4139300580969848,-0.3347792186340356,-0.297407520990496,366.39915944174516
163.889,372.94901704017417,3.057947415898637,-0.23593422579078502,-0.31693172713309065,-0.3984319925801469,367.5311747763376
167.478,372.0175508979671,3.941765997228749,-0.39499910881821376,-0.3342261797510875,-0.35107362931970676,364.9389820878452
171.068,372.7036350540434,2.5682177548533054,-0.07779639722067942,-0.2517908936774276,-0.26280511596904504,361.1783961895201
174.658,373.44738334513096,3.74503956891358,-0.22159930693040955,-0.3805984237619388,-0.379574736394793,369.6751776422062
178.248,373.28064789410655,3.3823957782519485,-0.3734309253253782,-0.281916445201311,-0.39398470045348266,364.613189895614
181.842,372.3516663240204,3.4437170908936516,-0.32100140540225675,-0.3382535426741093,-0.3623365955313312,365.2925851803212
185.441,372.448782793067,2.823565244690706,-0.2720966282216992,-0.2892238010475555,-0.25860934656319035,366.09419053799286
189.031,373.610253006618,3.3973632920019528,-0.2588274778346,-0.33842317614622736,-0.20273986106032119,365.1665079073167
192.618,373.455629654861,3.8499337796065687,-0.31917355512698187,-0.3355597374802043,-0.26159331016583115,361.89539463706234
196.201,372.939396078295,3.3380170800047626,-0.37145544332102887,-0.29737953291357727,-0.3108689657849234,364.8027844896739
199.789,373.07029771508786,3.59619664789976,-0.2711572203284812,-0.30135844047585447,-0.32158639120861704,363.5432854198018
203.374,372.9772748075321,2.974113740887047,-0.36671728360110817,-0.29734273034085945,-0.36047538758159176,358.35841252423546
206.961,372.15791901705916,3.7807018553624836,-0.38869342536357754,-0.30344418753927815,-0.2333071981942544,365.17650863295665
210.55,372.1601446191189,3.3099399881594747,-0.3945056270319652,-0.3121147867355786,-0.2984699612857735,359.2745810439578
214.142,372.63438072681686,3.3423611106150157,-0.4002700014738918,-0.2442452130011911,-0.4113845045867618,358.7549247264285
217.734,372.7429905500134,3.0282160082614005,-0.2688401164728637,-0.3978281671112874,-0.32270308316038115,361.83749795592627
221.332,372.5091112688131,3.1030073129526112,-0.31582699543584153,-0.33765499821214134,-0.2917669243843937,368.0720286649703
224.93,373.00205663377733,3.232120354004767,-0.3861186752448973,-0.29672082987267717,-0.2576338725498045,365.59757526098826
228.526,373.0548971494889,4.240768742805708,-0.21940108052231808,-0.3334494866109867,-0.33188449214933696,372.1553852274135
232.118,372.544934109342,3.563650774187405,-0.4203582389754855,-0.21101238433176514,-0.4667667075841981,371.4519530371804
235.709,372.608389935656,3.900418801751111,-0.3004171337124996,-0.31693587529583256,-0.35587832393569147,366.7186317622276
239.304,372.96217942991126,2.484638726051028,-0.42901460922117485,-0.2973477345902143,-0.32978278155590374,368.28790725168636
242.896,373.72794910041074,2.9806108427562354,-0.26415877022038786,-0.3123573438222767,-0.29798238447796616,369.2144966121941
246.494,373.45223577364237,2.969181974411809,-0.3119325215089368,-0.3345939111959419,-0.3499167479530141,366.573025478725
250.087,372.9072793673424,2.6865223836855585,-0.33053736356469743,-0.3106091912506867,-0.39774048690984365,367.5944651536975
253.68,372.87310197252054,3.598907210124093,-0.24686076857351943,-0.3291056417549629,-0.35951068741013714,367.8876239100316
257.271,372.4561801046769,3.303694736954212,-0.5312762455810897,-0.33246389376327273,-0.33186626291438187,366.13543874855776
260.863,371.90371403278044,3.7525168007280025,-0.2358986565173139,-0.25230001939205793,-0.36296564677973603,364.7234137099705
264.458,373.1923208557546,2.6922120146952717,-0.18171044939738124,-0.2543585370294126,-0.4376504784861791,371.71307396000077
268.051,372.5343013758164,2.767581032248105,-0.2457627177572576,-0.36817293773235454,-0.3208341791188225,366.61312569677887
271.64,371.3051377925372,4.070781394695019,-0.246250022080904,-0.393686595106728,-0.30835108460257493,363.69196863443904
275.232,372.045765379715,2.915695339408605,-0.4117719190601688,-0.31422584410102344,-0.34361354367455305,365.91094200189775
