Sourcefile	20210805 093341 Meng_500ms_CO2_2panel.qmp
Exporttime	8/5/2021 11:40:38.550 AM

Start Time	8/5/2021 09:33:54.686 AM
End Time	8/5/2021 11:40:28.755 AM

		18			28			32			40			44			45			47			49			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 09:33:54.686 AM	0.000	1.199155e-010	8/5/2021 09:33:54.901 AM	0.215	1.545199e-010	8/5/2021 09:33:55.464 AM	0.779	8.756150e-011	8/5/2021 09:33:56.002 AM	1.317	3.648621e-012	8/5/2021 09:33:56.541 AM	1.855	3.743555e-013	8/5/2021 09:33:57.080 AM	2.394	-4.625198e-015	8/5/2021 09:33:57.616 AM	2.931	-4.306556e-015	8/5/2021 09:33:58.154 AM	3.469	-3.375961e-015	8/5/2021 09:33:58.233 AM	3.548	9.392108e-009
8/5/2021 09:33:58.296 AM	3.610	1.217504e-010	8/5/2021 09:33:58.510 AM	3.824	1.543271e-010	8/5/2021 09:33:59.048 AM	4.363	8.671434e-011	8/5/2021 09:33:59.586 AM	4.901	3.615947e-012	8/5/2021 09:34:00.126 AM	5.440	3.765255e-013	8/5/2021 09:34:00.665 AM	5.980	-6.076794e-016	8/5/2021 09:34:01.205 AM	6.519	-4.810768e-015	8/5/2021 09:34:01.744 AM	7.058	-1.905750e-015	8/5/2021 09:34:01.822 AM	7.136	9.436223e-009
8/5/2021 09:34:01.884 AM	7.198	1.183672e-010	8/5/2021 09:34:02.101 AM	7.415	1.537715e-010	8/5/2021 09:34:02.641 AM	7.956	8.649898e-011	8/5/2021 09:34:03.181 AM	8.495	3.767504e-012	8/5/2021 09:34:03.720 AM	9.035	4.043548e-013	8/5/2021 09:34:04.259 AM	9.574	1.240080e-015	8/5/2021 09:34:04.800 AM	10.114	-3.122331e-015	8/5/2021 09:34:05.338 AM	10.653	-4.126484e-015	8/5/2021 09:34:05.416 AM	10.731	9.392108e-009
8/5/2021 09:34:05.479 AM	10.793	1.180643e-010	8/5/2021 09:34:05.694 AM	11.008	1.537453e-010	8/5/2021 09:34:06.232 AM	11.547	8.639549e-011	8/5/2021 09:34:06.773 AM	12.087	3.626615e-012	8/5/2021 09:34:07.312 AM	12.626	3.884575e-013	8/5/2021 09:34:07.852 AM	13.166	-1.660970e-015	8/5/2021 09:34:08.392 AM	13.706	-2.015627e-015	8/5/2021 09:34:08.931 AM	14.246	-5.353133e-015	8/5/2021 09:34:09.008 AM	14.323	9.436223e-009
8/5/2021 09:34:09.072 AM	14.386	1.203368e-010	8/5/2021 09:34:09.288 AM	14.602	1.529526e-010	8/5/2021 09:34:09.825 AM	15.140	8.687329e-011	8/5/2021 09:34:10.366 AM	15.680	3.603241e-012	8/5/2021 09:34:10.904 AM	16.219	3.825913e-013	8/5/2021 09:34:11.446 AM	16.760	-1.490661e-015	8/5/2021 09:34:11.986 AM	17.301	-8.914665e-015	8/5/2021 09:34:12.526 AM	17.840	-4.925223e-015	8/5/2021 09:34:12.604 AM	17.918	9.392108e-009
8/5/2021 09:34:12.665 AM	17.980	1.200626e-010	8/5/2021 09:34:12.881 AM	18.196	1.539114e-010	8/5/2021 09:34:13.418 AM	18.733	8.687005e-011	8/5/2021 09:34:13.959 AM	19.273	3.682367e-012	8/5/2021 09:34:14.497 AM	19.812	3.649509e-013	8/5/2021 09:34:15.039 AM	20.353	3.876238e-017	8/5/2021 09:34:15.576 AM	20.891	-6.629531e-015	8/5/2021 09:34:16.115 AM	21.430	-2.754243e-015	8/5/2021 09:34:16.194 AM	21.509	9.436223e-009
8/5/2021 09:34:16.256 AM	21.571	1.200605e-010	8/5/2021 09:34:16.472 AM	21.786	1.535576e-010	8/5/2021 09:34:17.010 AM	22.325	8.702793e-011	8/5/2021 09:34:17.550 AM	22.864	3.598358e-012	8/5/2021 09:34:18.088 AM	23.402	3.596478e-013	8/5/2021 09:34:18.626 AM	23.941	-1.152484e-015	8/5/2021 09:34:19.167 AM	24.481	-4.392933e-015	8/5/2021 09:34:19.709 AM	25.023	-5.133988e-015	8/5/2021 09:34:19.788 AM	25.102	9.436223e-009
8/5/2021 09:34:19.849 AM	25.164	1.191851e-010	8/5/2021 09:34:20.064 AM	25.379	1.539479e-010	8/5/2021 09:34:20.602 AM	25.917	8.629753e-011	8/5/2021 09:34:21.144 AM	26.458	3.585176e-012	8/5/2021 09:34:21.682 AM	26.997	3.706870e-013	8/5/2021 09:34:22.222 AM	27.536	-1.072213e-015	8/5/2021 09:34:22.760 AM	28.074	-4.896532e-015	8/5/2021 09:34:23.301 AM	28.615	-3.409839e-015	8/5/2021 09:34:23.379 AM	28.694	9.480546e-009
8/5/2021 09:34:23.441 AM	28.756	1.193416e-010	8/5/2021 09:34:23.656 AM	28.971	1.530302e-010	8/5/2021 09:34:24.197 AM	29.511	8.675861e-011	8/5/2021 09:34:24.736 AM	30.050	3.587442e-012	8/5/2021 09:34:25.274 AM	30.589	3.851726e-013	8/5/2021 09:34:25.815 AM	31.129	-7.557072e-016	8/5/2021 09:34:26.352 AM	31.667	-6.875529e-015	8/5/2021 09:34:26.894 AM	32.208	-4.353254e-015	8/5/2021 09:34:26.972 AM	32.286	9.436223e-009
8/5/2021 09:34:27.033 AM	32.348	1.179105e-010	8/5/2021 09:34:27.248 AM	32.562	1.528376e-010	8/5/2021 09:34:27.784 AM	33.099	8.664768e-011	8/5/2021 09:34:28.322 AM	33.637	3.623223e-012	8/5/2021 09:34:28.861 AM	34.175	3.844820e-013	8/5/2021 09:34:29.399 AM	34.713	-2.565315e-015	8/5/2021 09:34:29.935 AM	35.249	-6.150656e-015	8/5/2021 09:34:30.473 AM	35.788	-8.101270e-015	8/5/2021 09:34:30.552 AM	35.866	9.436223e-009
