Sourcefile	20210805 115931 Meng_500ms_CO2_2panel.qmp
Exporttime	8/5/2021 02:13:56.042 PM

Start Time	8/5/2021 11:59:38.650 AM
End Time	8/5/2021 02:13:46.445 PM

		18			28			32			40			44			45			47			49			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 11:59:38.649 AM	0.000	8.854810e-011	8/5/2021 11:59:38.864 AM	0.214	1.524499e-010	8/5/2021 11:59:39.401 AM	0.752	8.778625e-011	8/5/2021 11:59:39.939 AM	1.290	3.600048e-012	8/5/2021 11:59:40.478 AM	1.828	3.927661e-013	8/5/2021 11:59:41.016 AM	2.367	6.348126e-015	8/5/2021 11:59:41.553 AM	2.904	-4.089854e-016	8/5/2021 11:59:42.090 AM	3.441	-2.209743e-016	8/5/2021 11:59:42.168 AM	3.519	8.795772e-009
8/5/2021 11:59:42.231 AM	3.581	8.782689e-011	8/5/2021 11:59:42.445 AM	3.795	1.519247e-010	8/5/2021 11:59:42.982 AM	4.332	8.753479e-011	8/5/2021 11:59:43.520 AM	4.870	3.606151e-012	8/5/2021 11:59:44.056 AM	5.407	3.808837e-013	8/5/2021 11:59:44.594 AM	5.945	7.996582e-016	8/5/2021 11:59:45.133 AM	6.483	1.504704e-016	8/5/2021 11:59:45.671 AM	7.021	-9.006837e-016	8/5/2021 11:59:45.749 AM	7.099	8.837067e-009
8/5/2021 11:59:45.810 AM	7.161	8.809056e-011	8/5/2021 11:59:46.024 AM	7.374	1.523586e-010	8/5/2021 11:59:46.561 AM	7.912	8.791083e-011	8/5/2021 11:59:47.100 AM	8.450	3.596921e-012	8/5/2021 11:59:47.635 AM	8.986	3.766222e-013	8/5/2021 11:59:48.174 AM	9.524	3.134843e-015	8/5/2021 11:59:48.711 AM	10.061	2.178611e-015	8/5/2021 11:59:49.249 AM	10.600	6.653644e-017	8/5/2021 11:59:49.328 AM	10.679	8.795772e-009
8/5/2021 11:59:49.390 AM	10.740	8.900437e-011	8/5/2021 11:59:49.605 AM	10.955	1.521011e-010	8/5/2021 11:59:50.142 AM	11.492	8.755954e-011	8/5/2021 11:59:50.679 AM	12.029	3.660520e-012	8/5/2021 11:59:51.216 AM	12.566	3.590134e-013	8/5/2021 11:59:51.752 AM	13.103	-3.390918e-016	8/5/2021 11:59:52.289 AM	13.640	2.368455e-016	8/5/2021 11:59:52.826 AM	14.177	-1.324319e-015	8/5/2021 11:59:52.913 AM	14.264	8.795772e-009
8/5/2021 11:59:52.976 AM	14.326	8.835548e-011	8/5/2021 11:59:53.190 AM	14.540	1.519221e-010	8/5/2021 11:59:53.728 AM	15.079	8.747165e-011	8/5/2021 11:59:54.266 AM	15.617	3.590559e-012	8/5/2021 11:59:54.807 AM	16.157	3.815572e-013	8/5/2021 11:59:55.345 AM	16.696	8.377793e-015	8/5/2021 11:59:55.886 AM	17.236	2.545780e-015	8/5/2021 11:59:56.425 AM	17.776	-9.705798e-017	8/5/2021 11:59:56.504 AM	17.855	8.837067e-009
8/5/2021 11:59:56.566 AM	17.916	8.833689e-011	8/5/2021 11:59:56.781 AM	18.131	1.521258e-010	8/5/2021 11:59:57.320 AM	18.670	8.740327e-011	8/5/2021 11:59:57.857 AM	19.208	3.664863e-012	8/5/2021 11:59:58.398 AM	19.748	3.712132e-013	8/5/2021 11:59:58.936 AM	20.287	4.212854e-015	8/5/2021 11:59:59.474 AM	20.825	1.837384e-016	8/5/2021 12:00:00.016 PM	21.366	1.056040e-016	8/5/2021 12:00:00.097 PM	21.448	8.795772e-009
8/5/2021 12:00:00.160 PM	21.510	8.850629e-011	8/5/2021 12:00:00.376 PM	21.726	1.525262e-010	8/5/2021 12:00:00.915 PM	22.266	8.787081e-011	8/5/2021 12:00:01.455 PM	22.805	3.729305e-012	8/5/2021 12:00:01.993 PM	23.344	3.812513e-013	8/5/2021 12:00:02.531 PM	23.882	6.359111e-015	8/5/2021 12:00:03.069 PM	24.419	2.785681e-015	8/5/2021 12:00:03.607 PM	24.957	1.445794e-015	8/5/2021 12:00:03.686 PM	25.036	8.837067e-009
8/5/2021 12:00:03.747 PM	25.098	8.836192e-011	8/5/2021 12:00:03.961 PM	25.312	1.521236e-010	8/5/2021 12:00:04.498 PM	25.849	8.769838e-011	8/5/2021 12:00:05.036 PM	26.386	3.657833e-012	8/5/2021 12:00:05.576 PM	26.926	3.982908e-013	8/5/2021 12:00:06.114 PM	27.465	3.822488e-015	8/5/2021 12:00:06.653 PM	28.003	2.499696e-015	8/5/2021 12:00:07.190 PM	28.540	-7.273227e-016	8/5/2021 12:00:07.267 PM	28.618	8.795772e-009
8/5/2021 12:00:07.329 PM	28.680	8.933308e-011	8/5/2021 12:00:07.544 PM	28.895	1.523934e-010	8/5/2021 12:00:08.082 PM	29.433	8.771546e-011	8/5/2021 12:00:08.621 PM	29.971	3.616438e-012	8/5/2021 12:00:09.160 PM	30.510	3.762644e-013	8/5/2021 12:00:09.698 PM	31.049	4.559882e-015	8/5/2021 12:00:10.238 PM	31.588	-2.977658e-015	8/5/2021 12:00:10.775 PM	32.125	1.349957e-015	8/5/2021 12:00:10.853 PM	32.203	8.795772e-009
8/5/2021 12:00:10.914 PM	32.265	8.899585e-011	8/5/2021 12:00:11.129 PM	32.480	1.518854e-010	8/5/2021 12:00:11.669 PM	33.019	8.773073e-011	8/5/2021 12:00:12.204 PM	33.554	3.663729e-012	8/5/2021 12:00:12.743 PM	34.093	3.799472e-013	8/5/2021 12:00:13.280 PM	34.631	6.789157e-015	8/5/2021 12:00:13.818 PM	35.169	2.358076e-015	8/5/2021 12:00:14.355 PM	35.706	-1.605115e-015	8/5/2021 12:00:14.434 PM	35.785	8.754650e-009
8/5/2021 12:00:14.496 PM	35.847	8.973325e-011	8/5/2021 12:00:14.712 PM	36.062	1.514964e-010	8/5/2021 12:00:15.251 PM	36.602	8.736178e-011	8/5/2021 12:00:15.790 PM	37.140	3.663915e-012	8/5/2021 12:00:16.329 PM	37.680	3.854842e-013	8/5/2021 12:00:16.871 PM	38.221	-1.101514e-015	8/5/2021 12:00:17.408 PM	38.759	4.150913e-017	8/5/2021 12:00:17.948 PM	39.298	-3.120801e-015	8/5/2021 12:00:18.025 PM	39.376	8.837067e-009
8/5/2021 12:00:18.088 PM	39.438	8.829137e-011	8/5/2021 12:00:18.303 PM	39.653	1.519961e-010	8/5/2021 12:00:18.841 PM	40.192	8.793373e-011	8/5/2021 12:00:19.379 PM	40.730	3.637648e-012	8/5/2021 12:00:19.919 PM	41.269	3.631985e-013	8/5/2021 12:00:20.456 PM	41.807	2.367233e-015	8/5/2021 12:00:20.993 PM	42.344	5.463311e-016	8/5/2021 12:00:21.530 PM	42.881	-1.074361e-016	8/5/2021 12:00:21.608 PM	42.959	8.795772e-009
8/5/2021 12:00:21.671 PM	43.021	8.899460e-011	8/5/2021 12:00:21.886 PM	43.236	1.520132e-010	8/5/2021 12:00:22.423 PM	43.773	8.767306e-011	8/5/2021 12:00:22.960 PM	44.311	3.662059e-012	8/5/2021 12:00:23.498 PM	44.849	3.985454e-013	8/5/2021 12:00:24.037 PM	45.387	-2.573252e-015	8/5/2021 12:00:24.576 PM	45.926	2.366010e-015	8/5/2021 12:00:25.113 PM	46.464	-1.801063e-015	8/5/2021 12:00:25.199 PM	46.549	8.795772e-009
8/5/2021 12:00:25.262 PM	46.612	8.750821e-011	8/5/2021 12:00:25.478 PM	46.828	1.512660e-010	8/5/2021 12:00:26.018 PM	47.369	8.725553e-011	8/5/2021 12:00:26.558 PM	47.908	3.681651e-012	8/5/2021 12:00:27.097 PM	48.448	3.639094e-013	8/5/2021 12:00:27.634 PM	48.985	1.169851e-014	8/5/2021 12:00:28.174 PM	49.524	-1.973813e-015	8/5/2021 12:00:28.712 PM	50.062	6.156148e-016	8/5/2021 12:00:28.790 PM	50.140	8.878575e-009
8/5/2021 12:00:28.851 PM	50.202	8.835551e-011	8/5/2021 12:00:29.066 PM	50.417	1.512787e-010	8/5/2021 12:00:29.606 PM	50.956	8.727445e-011	8/5/2021 12:00:30.143 PM	51.493	3.665796e-012	8/5/2021 12:00:30.684 PM	52.034	3.748316e-013	8/5/2021 12:00:31.222 PM	52.572	7.363261e-015	8/5/2021 12:00:31.760 PM	53.111	1.238859e-015	8/5/2021 12:00:32.298 PM	53.649	-4.158833e-015	8/5/2021 12:00:32.377 PM	53.728	8.837067e-009
8/5/2021 12:00:32.439 PM	53.789	8.855239e-011	8/5/2021 12:00:32.655 PM	54.005	1.514699e-010	8/5/2021 12:00:33.192 PM	54.543	8.699824e-011	8/5/2021 12:00:33.729 PM	55.080	3.637480e-012	8/5/2021 12:00:34.268 PM	55.618	3.806891e-013	8/5/2021 12:00:34.805 PM	56.155	1.569100e-015	8/5/2021 12:00:35.343 PM	56.693	-3.296261e-017	8/5/2021 12:00:35.880 PM	57.230	2.831156e-015	8/5/2021 12:00:35.960 PM	57.311	8.754650e-009
8/5/2021 12:00:36.024 PM	57.374	8.908160e-011	8/5/2021 12:00:36.239 PM	57.589	1.517953e-010	8/5/2021 12:00:36.776 PM	58.126	8.775360e-011	8/5/2021 12:00:37.314 PM	58.665	3.614103e-012	8/5/2021 12:00:37.853 PM	59.203	3.590761e-013	8/5/2021 12:00:38.390 PM	59.740	7.904712e-015	8/5/2021 12:00:38.928 PM	60.279	-4.562944e-016	8/5/2021 12:00:39.466 PM	60.817	1.462887e-015	8/5/2021 12:00:39.550 PM	60.900	8.795772e-009
8/5/2021 12:00:39.613 PM	60.963	8.942925e-011	8/5/2021 12:00:39.826 PM	61.177	1.515059e-010	8/5/2021 12:00:40.365 PM	61.715	8.724303e-011	8/5/2021 12:00:40.904 PM	62.255	3.706859e-012	8/5/2021 12:00:41.443 PM	62.794	3.999718e-013	8/5/2021 12:00:41.984 PM	63.334	5.924796e-015	8/5/2021 12:00:42.525 PM	63.875	2.659627e-015	8/5/2021 12:00:43.064 PM	64.415	-8.210191e-017	8/5/2021 12:00:43.143 PM	64.493	8.837067e-009
8/5/2021 12:00:43.205 PM	64.555	8.843210e-011	8/5/2021 12:00:43.421 PM	64.771	1.517879e-010	8/5/2021 12:00:43.958 PM	65.308	8.702328e-011	8/5/2021 12:00:44.496 PM	65.847	3.606142e-012	8/5/2021 12:00:45.034 PM	66.385	3.768422e-013	8/5/2021 12:00:45.574 PM	66.924	-1.107008e-015	8/5/2021 12:00:46.112 PM	67.462	1.120743e-015	8/5/2021 12:00:46.650 PM	68.001	-6.439996e-016	8/5/2021 12:00:46.728 PM	68.079	8.837067e-009
8/5/2021 12:00:46.792 PM	68.142	8.804604e-011	8/5/2021 12:00:47.006 PM	68.356	1.516640e-010	8/5/2021 12:00:47.544 PM	68.895	8.719693e-011	8/5/2021 12:00:48.086 PM	69.436	3.715862e-012	8/5/2021 12:00:48.624 PM	69.974	3.784002e-013	8/5/2021 12:00:49.162 PM	70.513	4.160969e-015	8/5/2021 12:00:49.702 PM	71.052	-7.361742e-016	8/5/2021 12:00:50.240 PM	71.591	3.621657e-015	8/5/2021 12:00:50.327 PM	71.677	8.837067e-009
8/5/2021 12:00:50.389 PM	71.739	8.953824e-011	8/5/2021 12:00:50.604 PM	71.954	1.516964e-010	8/5/2021 12:00:51.142 PM	72.492	8.738616e-011	8/5/2021 12:00:51.681 PM	73.032	3.655585e-012	8/5/2021 12:00:52.221 PM	73.571	3.793255e-013	8/5/2021 12:00:52.760 PM	74.111	4.918202e-015	8/5/2021 12:00:53.298 PM	74.649	-3.989136e-016	8/5/2021 12:00:53.840 PM	75.190	-2.251862e-015	8/5/2021 12:00:53.918 PM	75.268	8.795772e-009
8/5/2021 12:00:53.980 PM	75.330	8.822454e-011	8/5/2021 12:00:54.194 PM	75.545	1.516930e-010	8/5/2021 12:00:54.734 PM	76.084	8.717037e-011	8/5/2021 12:00:55.272 PM	76.623	3.657625e-012	8/5/2021 12:00:55.811 PM	77.162	3.512781e-013	8/5/2021 12:00:56.349 PM	77.699	-4.852911e-017	8/5/2021 12:00:56.887 PM	78.237	1.871261e-015	8/5/2021 12:00:57.424 PM	78.774	2.261629e-016	8/5/2021 12:00:57.510 PM	78.860	8.795772e-009
8/5/2021 12:00:57.573 PM	78.923	8.976313e-011	8/5/2021 12:00:57.786 PM	79.137	1.512147e-010	8/5/2021 12:00:58.325 PM	79.675	8.766025e-011	8/5/2021 12:00:58.863 PM	80.213	3.583131e-012	8/5/2021 12:00:59.400 PM	80.750	3.813540e-013	8/5/2021 12:00:59.938 PM	81.289	7.981935e-015	8/5/2021 12:01:00.478 PM	81.828	1.890796e-015	8/5/2021 12:01:01.016 PM	82.366	-5.550300e-015	8/5/2021 12:01:01.094 PM	82.444	8.754650e-009
8/5/2021 12:01:01.155 PM	82.506	8.793857e-011	8/5/2021 12:01:01.370 PM	82.721	1.526056e-010	8/5/2021 12:01:01.909 PM	83.259	8.741177e-011	8/5/2021 12:01:02.446 PM	83.796	3.525067e-012	8/5/2021 12:01:02.984 PM	84.334	3.708104e-013	8/5/2021 12:01:03.520 PM	84.871	3.730007e-015	8/5/2021 12:01:04.058 PM	85.409	2.825968e-015	8/5/2021 12:01:04.595 PM	85.946	-2.400501e-015	8/5/2021 12:01:04.673 PM	86.024	8.795772e-009
8/5/2021 12:01:04.736 PM	86.086	8.716674e-011	8/5/2021 12:01:04.950 PM	86.300	1.514690e-010	8/5/2021 12:01:05.488 PM	86.839	8.714499e-011	8/5/2021 12:01:06.028 PM	87.378	3.609123e-012	8/5/2021 12:01:06.567 PM	87.917	3.673288e-013	8/5/2021 12:01:07.104 PM	88.455	6.831887e-015	8/5/2021 12:01:07.642 PM	88.993	3.010621e-015	8/5/2021 12:01:08.181 PM	89.531	-5.545717e-016	8/5/2021 12:01:08.264 PM	89.615	8.837067e-009
8/5/2021 12:01:08.327 PM	89.677	8.959315e-011	8/5/2021 12:01:08.542 PM	89.892	1.521340e-010	8/5/2021 12:01:09.079 PM	90.429	8.722469e-011	8/5/2021 12:01:09.615 PM	90.965	3.650337e-012	8/5/2021 12:01:10.153 PM	91.504	3.914713e-013	8/5/2021 12:01:10.693 PM	92.043	3.441889e-015	8/5/2021 12:01:11.229 PM	92.579	9.141135e-016	8/5/2021 12:01:11.767 PM	93.117	-2.939201e-016	8/5/2021 12:01:11.854 PM	93.204	8.795772e-009
