,O2,CO2,45CO2,47CO2,49CO2,O2_Ar
2.367,384.0108765881994,4.145721962867709,-0.07046197979716931,-0.18473975863797268,-0.16786682643985976,375.60860945216103
5.945,384.15555646250436,3.764764680206639,-0.26724424232581634,-0.1649084879125434,-0.19195404816897735,375.5887650881318
9.524,384.3786767091138,3.5419684464123353,-0.18451939362297087,-0.10080702513137658,-0.17521322140934154,374.42271000458237
13.103,383.30721641236823,3.1337551967273356,-0.30733769148018897,-0.1485336000170743,-0.19941148028211278,370.7578149105488
16.696,382.9423261866975,3.7594612860393224,0.0018618177087469288,-0.08928925089778286,-0.18376153921980198,373.3296929112374
20.287,383.73767281132876,3.4990235654075104,-0.14608171023978977,-0.1481924087132594,-0.16567719462596667,366.2797096060212
23.882,384.5647410395958,3.8901932958155467,-0.0702576340296826,-0.08227382623672981,-0.1302233005857458,364.50858606211
27.465,384.16413963528663,4.287210859401979,-0.16006561430107172,-0.07710713458044396,-0.16993276805577692,370.97710927749284
31.049,384.23904564628356,3.6431171784837444,-0.1339446267196472,-0.24364212166552465,-0.14150270546360394,372.67017028351336
34.631,383.5130086410226,3.7853892472454143,-0.05465776081052827,-0.11207432001122372,-0.19272079891239005,368.30043088164246
38.221,383.7662721413425,3.8324996471802737,-0.33452461215171225,-0.15348061444349048,-0.2618034868653603,369.4095625688788
41.807,384.6712917464843,3.347413866677998,-0.21183461988960944,-0.1505716271910523,-0.20309820080837612,371.526550866943
45.387,383.14870944551615,4.232748741576031,-0.38650207659142194,-0.09307822273790847,-0.21307212438906661,367.4812165622002
48.985,382.12782802771375,3.248879465445656,0.11987788325448315,-0.21419617802037877,-0.171083340465696,365.4736621589634
52.572,381.60247059354924,3.6107004745789895,-0.033662881583525865,-0.14045231845062692,-0.2638937800835424,367.10574184462524
56.155,382.46884043365367,3.6701723096925063,-0.23939802690580902,-0.16165751429646577,-0.14127898553733903,370.9215350457725
59.74,383.3253034020395,3.2332387947399006,-0.015040401770440878,-0.18118471935258132,-0.10082506767265972,370.5228975194661
63.334,381.57482067783434,4.347674608649118,-0.08465777782003914,-0.08958007832645454,-0.1537142681036744,364.951814695984
66.924,381.3790385249307,3.6596912892348796,-0.33392137893704776,-0.1193393597632469,-0.18411269721835524,368.8858928616938
70.513,382.21072907307047,3.7093918232092706,-0.14741096739004436,-0.18347927790054824,-0.0842643348371431,363.254819116592
74.111,382.24228072453315,3.5876554104753744,-0.12057204861896285,-0.18319488746621784,-0.18466960533901877,367.8644107836437
77.699,382.71119337886705,2.901102211779253,-0.29683586561661635,-0.11298160368042336,-0.1855970840879297,370.6327801523984
81.289,383.43751438062696,3.749797282349079,-0.012339791134468217,-0.1003232456782386,-0.302649547218801,379.01686338108897
84.871,382.25493167933746,3.4167448000278156,-0.16270650922976285,-0.0720422469062493,-0.28591348926372406,379.52867018327635
88.455,381.7446030108829,3.4415172022828155,-0.052551502890414485,-0.06149609230062659,-0.20657015805617787,371.1844622291256
92.043,382.06539986881864,4.0322935517951,-0.17285904729645218,-0.1237387407943785,-0.18045146055301411,367.7153612574218
95.634,381.3809109904283,3.3210115352604452,-0.2132995456094575,-0.1182088401906245,-0.2075593457030113,365.7928743824041
99.218,380.53822111517746,3.7155628111738097,-0.09599898103753966,-0.08731371701526372,-0.1945741261999853,367.66276371690464
102.81,381.645516372377,4.045838329866062,-0.052864548895516006,-0.13601419295263015,-0.20654120535629972,370.30775094068093
106.404,381.8751495184401,3.908860641555474,-0.09806932124635034,-0.22657091385557157,-0.24121612432161557,366.65438631115023
109.994,380.8328059100077,3.8996609008481675,-0.07441029716714528,-0.2173594821299711,-0.20361641305825307,373.5762268993927
113.585,381.13721201418133,3.4331759234378905,-0.26625688426995753,-0.13090287116777677,-0.19309856335854736,368.8526253364946
117.177,380.93480391955705,3.0569410336524827,-0.1340953374978623,-0.04047137553997095,-0.1181483745035859,373.1520535141912
120.769,380.22596355237215,3.1616382676404964,-0.18513326866884083,-0.12637608892620297,-0.20590276075298583,370.87614154885136
124.367,381.5831000387662,3.525017476369586,-0.23120185781759392,-0.03821209192774856,-0.24944200229197994,373.0278964714359
127.962,382.24091554309643,3.2013110959834616,-0.043497019731348625,-0.23066863426925763,-0.21089028317729963,375.9608394188891
131.56,381.25602037765395,3.244239219110754,0.032218566261262356,-0.08064945198247224,-0.17973442254997665,371.4284857068308
135.145,381.60421339332953,3.601788011901588,-0.11554296692320802,-0.02969965305311903,-0.2033928509733775,365.7755676135804
138.727,381.74424965850716,4.016317273722391,-0.184926533233201,-0.17754986303735773,-0.27739654388304874,365.31781655379655
142.31,381.80151941924026,3.5566965115045552,-0.058068083508814046,-0.16569588883480735,-0.10066044187476857,365.98910189315245
145.895,380.9655363637714,3.2477088478661247,-0.252801815090051,-0.13946933803335923,-0.11771574985839742,368.1294468024523
149.484,380.40772335794964,3.525072810427097,-0.13755535898607726,-0.07980198720969853,-0.10663545769819374,370.1363158835404
153.07,380.6918864572408,2.948200890782587,-0.09572577383750518,-0.21258344385973624,-0.10782305176307679,367.59388546335106
156.654,380.35836890933257,3.4155567703453964,-0.17136852883748044,-0.13655624262752952,-0.2872564871786604,367.22300676103754
160.241,379.79424956819247,4.280416875844681,-0.17073626994209734,0.03073162480987244,-0.24714835181689154,361.1923383752171
163.823,380.14244900110464,3.139297975082454,-0.29505729326252544,-0.08041638364280648,-0.19452036126024366,368.7421773934354
167.409,380.8336261226116,3.6428240932960834,-0.06659687328567214,-0.1348101892289729,-0.23140936157744704,365.12261992675735
171.0,381.6193083797767,3.1085559670600853,-0.181356796567019,-0.09528641634668814,-0.19503105115400643,370.14247723213026
174.598,382.1724454918258,3.114064637050899,-0.16936689771810667,-0.07425976705413445,-0.20371707759013785,368.90118737876196
178.194,381.12789982516836,3.1270807381045658,-0.3900254981060881,-0.12389895601790732,-0.25123418363435074,369.7110564975386
181.785,380.1823787454172,3.715930991345335,-0.08658399783651623,-0.1644564402447369,-0.27591226631768695,372.3970648926098
185.379,380.1798489352158,4.1443286839774025,-0.16175309829804616,-0.27043125426655085,-0.23714395079106537,369.93084323371414
188.976,380.39112739969545,3.0844286849994718,-0.06442532781411588,-0.21256911223966118,-0.2869465977931028,373.31374085507906
192.575,380.7990290410375,2.822817489374766,-0.1061723616484255,-0.1962503061404275,-0.2747146261092493,371.870534723461
196.165,380.96770732768425,2.9024281668369607,0.010822552946084236,-0.054181977711008925,-0.23483392059079292,371.0792595497005
199.743,380.20513313486543,3.3039569512174047,0.015644239548577483,-0.07144431458436348,-0.21710264417786038,368.44654162252357
203.326,380.8083609794603,3.557407422781154,-0.11456259539122113,-0.15360897318496944,-0.2355596395055319,367.3650632708761
206.919,381.6729049871447,2.933954896859639,-0.021662985900818776,-0.1288190749309669,-0.14772252737468297,367.27811438008285
210.502,381.6956825076021,3.2074473621410555,-0.24819760339829422,-0.2575050238249066,-0.0669283474487055,369.76850786100687
214.091,381.8356214156699,4.13029798834911,-0.16973049178568644,-0.2029666144926257,-0.19619582191798332,370.80716190196637
217.68,381.1205992152758,3.4003417183453557,-0.2615329128668437,-0.1174316644100506,-0.30081098608054324,368.39609767406023
221.272,380.96292054636194,3.44038010118918,-0.14604152037734203,-0.10873237080856095,-0.24398100281640908,373.37552410537256
224.863,380.12102746386734,3.198560138415919,-0.15322725480342575,-0.11498426549125194,-0.23404724843666674,371.5894979227733
228.465,380.23577906805065,3.279492029228777,-0.0005341966386648873,-0.17701571527349128,-0.16231974201883786,367.9877231462984
232.057,380.21796429776515,3.4007533799732177,-0.21282419368561675,-0.25713212101745825,-0.22795962704331407,368.27017516699755
235.642,379.61369093628014,3.3510741399410793,-0.14668349006538556,-0.1786166515865566,-0.23660259647509949,370.7994060639898
239.239,380.58112105859647,2.9734526181304926,-0.24352864752769937,-0.23132882708661592,-0.13882146236236684,371.36269851477397
242.826,380.6726712472431,2.9578542900038007,-0.10038362128236868,-0.250612667167206,-0.12928536452720576,371.9912618126565
246.424,381.5299032313143,3.5974032217536904,-0.07217574951232125,-0.21775377655162906,-0.266714380103346,374.7544766683668
250.018,381.94439360850856,3.7321813147609073,-0.16668256159830871,-0.12895156643942182,-0.33717512182510584,374.90972857095466
253.607,380.76227736373136,3.2861118307077724,-0.2571167839824891,-0.11168351713709064,-0.28579447990002743,378.176000696526
257.2,380.53811428949683,2.9428284902995205,-0.09122638765901045,-0.09131150420763925,-0.25828851886035614,374.0261864823273
260.788,380.8100546346769,3.224193836774141,-0.03327863296310914,-0.20896160282010928,-0.163966915951389,375.264012583404
264.384,381.7361376712351,3.3041299911391513,0.007080782963410435,-0.1405639741472535,-0.21716770258494472,375.3572387139276
267.967,381.51868155950655,3.2087485323990834,-0.056674836840266314,-0.24664933653258284,-0.25972450602453884,377.2826554222523
271.554,381.3697755534724,2.077071119506521,-0.09172097973605371,-0.15623612938731976,-0.16839452476470515,370.30102089271736
275.144,381.5582830804323,3.0829097865424315,-0.24873607955351518,-0.2403731285394751,-0.13129441579340984,366.2932301526385
278.733,379.56431660492234,3.105922848199546,0.032416044066012166,-0.22343347093138274,-0.17229940998417698,371.253972467169
282.321,379.1087762745899,3.2302552506784776,-0.16899213524834994,-0.18180893414286142,-0.215955908445081,367.09731289489366
285.909,380.57148412675684,3.0515169602737626,-0.22412157514490802,-0.1395940080479203,-0.16300748779748084,364.98418277006556
289.495,380.89645932827386,2.7286980446052578,-0.11196228169276397,-0.17804074080866344,-0.1362315552046982,370.0923632050915
293.079,379.8652359197687,3.476396698996452,-0.013807917148860739,-0.25952252999551806,-0.14539962073538876,374.02408396160837
296.659,380.17584836711103,3.170304737656483,-0.20901153456329238,-0.1855255988529569,-0.11564769277778576,368.45113099182896
300.242,380.3231070031742,3.2068467818023794,-0.07115547450270047,-0.15370997417747417,-0.25192717204493004,365.47264730551854
303.825,379.83052762056957,3.878051862498184,-0.13150772624929288,-0.10719468417400356,-0.2916659579968737,367.3145074206973
307.407,379.92582855107327,3.1235076030316073,-0.22399225281749155,-0.1251832942555905,-0.1838079638056817,362.75681433380197
310.992,379.29864725898113,2.967498785441671,-0.2580776721332442,-0.23041972401780025,-0.15090445643435468,370.2307957166978
314.583,379.9685147198445,3.4419027388223093,-0.016731896457926682,-0.1615903197617992,-0.2180793169784883,365.1876020146186
318.175,381.1382960658309,2.9796987493862823,-0.06887399457503493,-0.2082110253784672,-0.2202796587383057,368.1492973739264
321.76,379.931758734133,3.2819828759004315,-0.24226182021255,-0.22448503816483353,-0.15915755197026027,370.5058358729469
325.343,379.16573940533345,3.585887774159802,-0.2312162191414,-0.08738470043270921,-0.1867875231841535,366.32238190103493
328.923,379.58598160430233,3.47254030915387,-0.05115886043822708,-0.040702756520649586,-0.18477096422586198,362.1516431987183
332.506,379.84447606572974,3.3056909507401158,-0.2068337026536517,-0.01766189709163363,-0.2422219845292287,367.4035883248569
