t/s,CO2_exc,Bic_exc,CO2_srf,Bic_srf,CO2_cyt,Bic_cyt,CO2_chp,Bic_chp,CO2_pyr,Bic_pyr
0.0000e+00,2.6429e-08,2.2336e-06,2.6429e-08,2.2336e-06,2.6429e-08,2.2336e-06,2.6429e-08,2.2336e-06,2.6429e-08,2.2336e-06
9.7683e-07,2.6429e-08,2.2336e-06,2.6430e-08,2.2336e-06,2.6483e-08,2.2335e-06,2.6429e-08,2.2336e-06,2.6320e-08,2.2337e-06
1.9537e-06,2.6429e-08,2.2336e-06,2.6433e-08,2.2336e-06,2.6537e-08,2.2335e-06,2.6429e-08,2.2336e-06,2.6213e-08,2.2338e-06
1.1722e-05,2.6429e-08,2.2336e-06,2.6553e-08,2.2336e-06,2.7075e-08,2.2329e-06,2.6429e-08,2.2336e-06,2.5287e-08,2.2347e-06
2.1490e-05,2.6429e-08,2.2336e-06,2.6758e-08,2.2336e-06,2.7607e-08,2.2324e-06,2.6429e-08,2.2336e-06,2.4502e-08,2.2354e-06
6.4758e-05,2.6429e-08,2.2336e-06,2.8143e-08,2.2337e-06,2.9913e-08,2.2300e-06,2.6433e-08,2.2336e-06,2.2095e-08,2.2378e-06
1.0803e-04,2.6429e-08,2.2336e-06,3.0000e-08,2.2341e-06,3.2147e-08,2.2277e-06,2.6441e-08,2.2337e-06,2.1004e-08,2.2388e-06
1.5129e-04,2.6429e-08,2.2336e-06,3.1946e-08,2.2348e-06,3.4321e-08,2.2254e-06,2.6455e-08,2.2337e-06,2.0566e-08,2.2391e-06
2.1234e-04,2.6429e-08,2.2336e-06,3.4631e-08,2.2362e-06,3.7295e-08,2.2223e-06,2.6482e-08,2.2338e-06,2.0418e-08,2.2391e-06
2.7339e-04,2.6429e-08,2.2336e-06,3.7168e-08,2.2382e-06,4.0164e-08,2.2192e-06,2.6520e-08,2.2338e-06,2.0361e-08,2.2391e-06
3.3444e-04,2.6429e-08,2.2336e-06,3.9617e-08,2.2406e-06,4.2930e-08,2.2163e-06,2.6569e-08,2.2339e-06,2.0304e-08,2.2390e-06
3.9549e-04,2.6429e-08,2.2336e-06,4.2002e-08,2.2435e-06,4.5598e-08,2.2134e-06,2.6627e-08,2.2339e-06,2.0275e-08,2.2389e-06
5.5704e-04,2.6429e-08,2.2336e-06,4.7917e-08,2.2532e-06,5.2218e-08,2.2061e-06,2.6823e-08,2.2341e-06,2.0269e-08,2.2387e-06
7.1858e-04,2.6429e-08,2.2336e-06,5.3294e-08,2.2654e-06,5.8235e-08,2.1994e-06,2.7078e-08,2.2342e-06,2.0284e-08,2.2384e-06
8.8012e-04,2.6429e-08,2.2336e-06,5.8180e-08,2.2799e-06,6.3701e-08,2.1930e-06,2.7386e-08,2.2343e-06,2.0290e-08,2.2382e-06
1.1753e-03,2.6429e-08,2.2336e-06,6.5984e-08,2.3107e-06,7.2420e-08,2.1825e-06,2.8066e-08,2.2346e-06,2.0295e-08,2.2378e-06
1.4705e-03,2.6429e-08,2.2336e-06,7.2540e-08,2.3457e-06,7.9730e-08,2.1732e-06,2.8871e-08,2.2349e-06,2.0298e-08,2.2375e-06
1.7657e-03,2.6429e-08,2.2336e-06,7.8053e-08,2.3832e-06,8.5865e-08,2.1648e-06,2.9776e-08,2.2351e-06,2.0308e-08,2.2373e-06
2.0609e-03,2.6429e-08,2.2336e-06,8.2690e-08,2.4221e-06,9.1014e-08,2.1572e-06,3.0759e-08,2.2353e-06,2.0321e-08,2.2372e-06
2.6720e-03,2.6429e-08,2.2336e-06,9.0089e-08,2.5031e-06,9.9203e-08,2.1436e-06,3.2968e-08,2.2359e-06,2.0351e-08,2.2373e-06
3.2831e-03,2.6429e-08,2.2336e-06,9.5255e-08,2.5805e-06,1.0489e-07,2.1321e-06,3.5319e-08,2.2364e-06,2.0380e-08,2.2377e-06
3.8942e-03,2.6429e-08,2.2336e-06,9.8836e-08,2.6518e-06,1.0880e-07,2.1221e-06,3.7731e-08,2.2369e-06,2.0416e-08,2.2384e-06
4.5053e-03,2.6429e-08,2.2336e-06,1.0130e-07,2.7154e-06,1.1147e-07,2.1132e-06,4.0150e-08,2.2374e-06,2.0456e-08,2.2394e-06
5.1164e-03,2.6429e-08,2.2336e-06,1.0299e-07,2.7710e-06,1.1328e-07,2.1050e-06,4.2536e-08,2.2379e-06,2.0497e-08,2.2406e-06
5.8177e-03,2.6429e-08,2.2336e-06,1.0426e-07,2.8251e-06,1.1462e-07,2.0963e-06,4.5202e-08,2.2385e-06,2.0545e-08,2.2423e-06
6.5191e-03,2.6429e-08,2.2336e-06,1.0504e-07,2.8698e-06,1.1543e-07,2.0882e-06,4.7768e-08,2.2391e-06,2.0595e-08,2.2442e-06
7.2204e-03,2.6429e-08,2.2336e-06,1.0548e-07,2.9063e-06,1.1587e-07,2.0804e-06,5.0224e-08,2.2397e-06,2.0644e-08,2.2463e-06
7.9217e-03,2.6429e-08,2.2336e-06,1.0570e-07,2.9357e-06,1.1607e-07,2.0728e-06,5.2562e-08,2.2404e-06,2.0694e-08,2.2486e-06
8.6230e-03,2.6429e-08,2.2336e-06,1.0576e-07,2.9591e-06,1.1610e-07,2.0655e-06,5.4780e-08,2.2411e-06,2.0743e-08,2.2509e-06
9.9912e-03,2.6429e-08,2.2336e-06,1.0559e-07,2.9911e-06,1.1585e-07,2.0515e-06,5.8769e-08,2.2424e-06,2.0836e-08,2.2557e-06
1.1359e-02,2.6429e-08,2.2336e-06,1.0523e-07,3.0099e-06,1.1540e-07,2.0380e-06,6.2325e-08,2.2439e-06,2.0924e-08,2.2606e-06
1.2728e-02,2.6429e-08,2.2336e-06,1.0477e-07,3.0200e-06,1.1486e-07,2.0246e-06,6.5481e-08,2.2454e-06,2.1008e-08,2.2656e-06
1.4096e-02,2.6429e-08,2.2336e-06,1.0426e-07,3.0246e-06,1.1427e-07,2.0114e-06,6.8272e-08,2.2470e-06,2.1086e-08,2.2704e-06
1.5992e-02,2.6429e-08,2.2336e-06,1.0351e-07,3.0252e-06,1.1341e-07,1.9935e-06,7.1602e-08,2.2494e-06,2.1186e-08,2.2769e-06
1.7888e-02,2.6429e-08,2.2336e-06,1.0272e-07,3.0218e-06,1.1251e-07,1.9758e-06,7.4382e-08,2.2518e-06,2.1277e-08,2.2830e-06
1.9784e-02,2.6429e-08,2.2336e-06,1.0192e-07,3.0161e-06,1.1160e-07,1.9583e-06,7.6687e-08,2.2544e-06,2.1358e-08,2.2888e-06
2.1680e-02,2.6429e-08,2.2336e-06,1.0112e-07,3.0090e-06,1.1070e-07,1.9411e-06,7.8579e-08,2.2571e-06,2.1430e-08,2.2943e-06
2.3576e-02,2.6429e-08,2.2336e-06,1.0032e-07,3.0015e-06,1.0980e-07,1.9241e-06,8.0117e-08,2.2599e-06,2.1495e-08,2.2994e-06
2.6368e-02,2.6429e-08,2.2336e-06,9.9166e-08,2.9900e-06,1.0849e-07,1.8994e-06,8.1839e-08,2.2641e-06,2.1580e-08,2.3063e-06
2.9161e-02,2.6429e-08,2.2336e-06,9.8017e-08,2.9784e-06,1.0720e-07,1.8751e-06,8.3029e-08,2.2684e-06,2.1652e-08,2.3127e-06
3.1953e-02,2.6429e-08,2.2336e-06,9.6882e-08,2.9666e-06,1.0592e-07,1.8513e-06,8.3795e-08,2.2728e-06,2.1714e-08,2.3186e-06
3.4746e-02,2.6429e-08,2.2336e-06,9.5764e-08,2.9550e-06,1.0465e-07,1.8279e-06,8.4220e-08,2.2772e-06,2.1769e-08,2.3241e-06
3.7538e-02,2.6429e-08,2.2336e-06,9.4663e-08,2.9435e-06,1.0341e-07,1.8048e-06,8.4375e-08,2.2817e-06,2.1817e-08,2.3292e-06
4.4437e-02,2.6429e-08,2.2336e-06,9.2010e-08,2.9159e-06,1.0042e-07,1.7495e-06,8.3899e-08,2.2929e-06,2.1914e-08,2.3407e-06
5.1335e-02,2.6429e-08,2.2336e-06,8.9454e-08,2.8894e-06,9.7535e-08,1.6964e-06,8.2687e-08,2.3040e-06,2.1991e-08,2.3511e-06
5.8233e-02,2.6429e-08,2.2336e-06,8.6994e-08,2.8638e-06,9.4759e-08,1.6454e-06,8.1097e-08,2.3150e-06,2.2058e-08,2.3607e-06
6.5131e-02,2.6429e-08,2.2336e-06,8.4628e-08,2.8392e-06,9.2090e-08,1.5964e-06,7.9318e-08,2.3258e-06,2.2117e-08,2.3699e-06
7.5422e-02,2.6429e-08,2.2336e-06,8.1265e-08,2.8042e-06,8.8295e-08,1.5268e-06,7.6506e-08,2.3415e-06,2.2198e-08,2.3828e-06
8.5713e-02,2.6429e-08,2.2336e-06,7.8093e-08,2.7712e-06,8.4717e-08,1.4612e-06,7.3702e-08,2.3567e-06,2.2273e-08,2.3952e-06
9.6004e-02,2.6429e-08,2.2336e-06,7.5102e-08,2.7401e-06,8.1343e-08,1.3993e-06,7.0993e-08,2.3714e-06,2.2346e-08,2.4072e-06
1.0630e-01,2.6429e-08,2.2336e-06,7.2282e-08,2.7107e-06,7.8161e-08,1.3410e-06,6.8408e-08,2.3857e-06,2.2417e-08,2.4187e-06
1.2628e-01,2.6429e-08,2.2336e-06,6.7258e-08,2.6584e-06,7.2493e-08,1.2371e-06,6.3753e-08,2.4119e-06,2.2551e-08,2.4402e-06
1.4627e-01,2.6429e-08,2.2336e-06,6.2777e-08,2.6118e-06,6.7437e-08,1.1444e-06,5.9595e-08,2.4366e-06,2.2681e-08,2.4606e-06
1.6626e-01,2.6429e-08,2.2336e-06,5.8781e-08,2.5702e-06,6.2928e-08,1.0618e-06,5.5890e-08,2.4598e-06,2.2808e-08,2.4799e-06
1.8625e-01,2.6429e-08,2.2336e-06,5.5216e-08,2.5331e-06,5.8907e-08,9.8808e-07,5.2586e-08,2.4817e-06,2.2931e-08,2.4984e-06
2.2059e-01,2.6429e-08,2.2336e-06,4.9972e-08,2.4785e-06,5.2990e-08,8.7964e-07,4.7726e-08,2.5167e-06,2.3138e-08,2.5283e-06
2.5493e-01,2.6429e-08,2.2336e-06,4.5664e-08,2.4337e-06,4.8131e-08,7.9057e-07,4.3740e-08,2.5488e-06,2.3337e-08,2.5562e-06
2.8927e-01,2.6429e-08,2.2336e-06,4.2125e-08,2.3968e-06,4.4137e-08,7.1738e-07,4.0472e-08,2.5785e-06,2.3530e-08,2.5824e-06
3.2361e-01,2.6429e-08,2.2336e-06,3.9216e-08,2.3666e-06,4.0856e-08,6.5723e-07,3.7795e-08,2.6061e-06,2.3718e-08,2.6071e-06
3.7435e-01,2.6429e-08,2.2336e-06,3.5839e-08,2.3314e-06,3.7045e-08,5.8738e-07,3.4697e-08,2.6440e-06,2.3988e-08,2.6416e-06
4.2508e-01,2.6429e-08,2.2336e-06,3.3312e-08,2.3051e-06,3.4194e-08,5.3512e-07,3.2392e-08,2.6789e-06,2.4248e-08,2.6739e-06
4.7582e-01,2.6429e-08,2.2336e-06,3.1424e-08,2.2855e-06,3.2065e-08,4.9609e-07,3.0684e-08,2.7116e-06,2.4502e-08,2.7046e-06
5.2655e-01,2.6429e-08,2.2336e-06,3.0016e-08,2.2708e-06,3.0475e-08,4.6695e-07,2.9423e-08,2.7425e-06,2.4749e-08,2.7340e-06
5.7729e-01,2.6429e-08,2.2336e-06,2.8964e-08,2.2599e-06,2.9289e-08,4.4519e-07,2.8495e-08,2.7721e-06,2.4991e-08,2.7624e-06
6.4298e-01,2.6429e-08,2.2336e-06,2.7985e-08,2.2497e-06,2.8185e-08,4.2494e-07,2.7650e-08,2.8088e-06,2.5298e-08,2.7979e-06
7.0868e-01,2.6429e-08,2.2336e-06,2.7314e-08,2.2427e-06,2.7428e-08,4.1106e-07,2.7092e-08,2.8441e-06,2.5599e-08,2.8324e-06
7.7437e-01,2.6429e-08,2.2336e-06,2.6856e-08,2.2379e-06,2.6911e-08,4.0158e-07,2.6731e-08,2.8785e-06,2.5896e-08,2.8660e-06
8.4007e-01,2.6429e-08,2.2336e-06,2.6544e-08,2.2347e-06,2.6559e-08,3.9512e-07,2.6507e-08,2.9120e-06,2.6188e-08,2.8990e-06
9.0576e-01,2.6429e-08,2.2336e-06,2.6332e-08,2.2325e-06,2.6319e-08,3.9071e-07,2.6375e-08,2.9449e-06,2.6476e-08,2.9314e-06
9.9660e-01,2.6429e-08,2.2336e-06,2.6144e-08,2.2305e-06,2.6107e-08,3.8680e-07,2.6289e-08,2.9895e-06,2.6870e-08,2.9755e-06
1.0874e+00,2.6429e-08,2.2336e-06,2.6033e-08,2.2293e-06,2.5982e-08,3.8450e-07,2.6275e-08,3.0333e-06,2.7258e-08,3.0189e-06
1.1783e+00,2.6429e-08,2.2336e-06,2.5970e-08,2.2287e-06,2.5911e-08,3.8318e-07,2.6305e-08,3.0764e-06,2.7640e-08,3.0616e-06
1.2691e+00,2.6429e-08,2.2336e-06,2.5935e-08,2.2283e-06,2.5872e-08,3.8245e-07,2.6359e-08,3.1189e-06,2.8018e-08,3.1037e-06
1.3600e+00,2.6429e-08,2.2336e-06,2.5917e-08,2.2281e-06,2.5851e-08,3.8205e-07,2.6428e-08,3.1608e-06,2.8391e-08,3.1453e-06
1.5140e+00,2.6429e-08,2.2336e-06,2.5906e-08,2.2280e-06,2.5839e-08,3.8179e-07,2.6561e-08,3.2307e-06,2.9013e-08,3.2146e-06
1.6680e+00,2.6429e-08,2.2336e-06,2.5905e-08,2.2280e-06,2.5838e-08,3.8174e-07,2.6701e-08,3.2991e-06,2.9622e-08,3.2825e-06
1.8220e+00,2.6429e-08,2.2336e-06,2.5907e-08,2.2280e-06,2.5840e-08,3.8176e-07,2.6841e-08,3.3661e-06,3.0218e-08,3.3490e-06
1.9760e+00,2.6429e-08,2.2336e-06,2.5911e-08,2.2281e-06,2.5845e-08,3.8183e-07,2.6980e-08,3.4318e-06,3.0803e-08,3.4141e-06
