t/s,CO2_exc,Bic_exc,CO2_srf,Bic_srf,CO2_cyt,Bic_cyt,CO2_chp,Bic_chp,CO2_pyr,Bic_pyr
0.0000e+00,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9778e+01,2.7105e-01,1.9778e+01,1.5242e-01,1.9778e+01,1.5242e-01
2.2990e-09,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9778e+01,2.7105e-01,1.9778e+01,1.5242e-01,1.9777e+01,1.5273e-01
4.5981e-09,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9778e+01,2.7106e-01,1.9778e+01,1.5242e-01,1.9777e+01,1.5304e-01
2.7588e-08,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9778e+01,2.7111e-01,1.9778e+01,1.5242e-01,1.9774e+01,1.5611e-01
5.0579e-08,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9778e+01,2.7116e-01,1.9778e+01,1.5242e-01,1.9771e+01,1.5918e-01
1.2043e-07,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9778e+01,2.7131e-01,1.9778e+01,1.5242e-01,1.9762e+01,1.6851e-01
1.9028e-07,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9777e+01,2.7146e-01,1.9778e+01,1.5242e-01,1.9752e+01,1.7784e-01
2.6013e-07,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9777e+01,2.7161e-01,1.9778e+01,1.5242e-01,1.9743e+01,1.8717e-01
4.4515e-07,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9777e+01,2.7202e-01,1.9778e+01,1.5242e-01,1.9718e+01,2.1184e-01
6.3018e-07,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9776e+01,2.7242e-01,1.9778e+01,1.5242e-01,1.9694e+01,2.3649e-01
8.1521e-07,1.9778e+01,2.2102e+03,1.9778e+01,2.2102e+03,1.9776e+01,2.7282e-01,1.9778e+01,1.5242e-01,1.9669e+01,2.6110e-01
